Format,Metric,Year,Value
SACD,Value,1975,
SACD,Value,1976,
SACD,Value,1977,
SACD,Value,1978,
SACD,Value,1979,
SACD,Value,1980,
SACD,Value,1981,
SACD,Value,1982,
SACD,Value,1983,
SACD,Value,1984,
SACD,Value,1985,
SACD,Value,1986,
SACD,Value,1987,
SACD,Value,1988,
SACD,Value,1989,
SACD,Value,1990,
SACD,Value,1991,
SACD,Value,1992,
SACD,Value,1993,
SACD,Value,1994,
SACD,Value,1995,
SACD,Value,1996,
SACD,Value,1997,
SACD,Value,1998,
SACD,Value,1999,
SACD,Value,2000,
SACD,Value,2001,
SACD,Value,2002,
SACD,Value,2003,26.3
SACD,Value,2004,16.6
SACD,Value,2005,10
SACD,Value,2006,5.5
SACD,Value,2007,3.6
SACD,Value,2008,3.1
SACD,Value,2009,2.4
SACD,Value,2010,1.7
SACD,Value,2011,1.5
SACD,Value,2012,1.3425
SACD,Value,2013,0.9783826
SACD,Value,2014,0.76344539
SACD,Value,2015,1.04346656
SACD,Value,2016,1.20686148
SACD,Value,2017,0.85057856
SACD,Value,2018,0.85969971
SACD,Value,2019,0.433302292
SoundExchange Distributions,Value,1973,
SoundExchange Distributions,Value,1974,
SoundExchange Distributions,Value,1975,
SoundExchange Distributions,Value,1976,
SoundExchange Distributions,Value,1977,
SoundExchange Distributions,Value,1978,
SoundExchange Distributions,Value,1979,
SoundExchange Distributions,Value,1980,
SoundExchange Distributions,Value,1981,
SoundExchange Distributions,Value,1982,
SoundExchange Distributions,Value,1983,
SoundExchange Distributions,Value,1984,
SoundExchange Distributions,Value,1985,
SoundExchange Distributions,Value,1986,
SoundExchange Distributions,Value,1987,
SoundExchange Distributions,Value,1988,
SoundExchange Distributions,Value,1989,
SoundExchange Distributions,Value,1990,
SoundExchange Distributions,Value,1991,
SoundExchange Distributions,Value,1992,
SoundExchange Distributions,Value,1993,
SoundExchange Distributions,Value,1994,
SoundExchange Distributions,Value,1995,
SoundExchange Distributions,Value,1996,
SoundExchange Distributions,Value,1997,
SoundExchange Distributions,Value,1998,
SoundExchange Distributions,Value,1999,
SoundExchange Distributions,Value,2000,
SoundExchange Distributions,Value,2001,
SoundExchange Distributions,Value,2002,
SoundExchange Distributions,Value,2003,
SoundExchange Distributions,Value,2004,6.9
SoundExchange Distributions,Value,2005,20.4
SoundExchange Distributions,Value,2006,32.8
SoundExchange Distributions,Value,2007,36.2
SoundExchange Distributions,Value,2008,100
SoundExchange Distributions,Value,2009,155.5
SoundExchange Distributions,Value,2010,249.2
SoundExchange Distributions,Value,2011,292
SoundExchange Distributions,Value,2012,462
SoundExchange Distributions,Value,2013,590.4
SoundExchange Distributions,Value,2014,773.4
SoundExchange Distributions,Value,2015,802.6
SoundExchange Distributions,Value,2016,883.9
SoundExchange Distributions,Value,2017,652
SoundExchange Distributions,Value,2018,952.8
SoundExchange Distributions,Value,2019,908.2
Synchronization,Value,1973,
Synchronization,Value,1974,
Synchronization,Value,1975,
Synchronization,Value,1976,
Synchronization,Value,1977,
Synchronization,Value,1978,
Synchronization,Value,1979,
Synchronization,Value,1980,
Synchronization,Value,1981,
Synchronization,Value,1982,
Synchronization,Value,1983,
Synchronization,Value,1984,
Synchronization,Value,1985,
Synchronization,Value,1986,
Synchronization,Value,1987,
Synchronization,Value,1988,
Synchronization,Value,1989,
Synchronization,Value,1990,
Synchronization,Value,1991,
Synchronization,Value,1992,
Synchronization,Value,1993,
Synchronization,Value,1994,
Synchronization,Value,1995,
Synchronization,Value,1996,
Synchronization,Value,1997,
Synchronization,Value,1998,
Synchronization,Value,1999,
Synchronization,Value,2000,
Synchronization,Value,2001,
Synchronization,Value,2002,
Synchronization,Value,2003,
Synchronization,Value,2004,
Synchronization,Value,2005,
Synchronization,Value,2006,
Synchronization,Value,2007,
Synchronization,Value,2008,
Synchronization,Value,2009,201.2
Synchronization,Value,2010,188.7
Synchronization,Value,2011,196.5
Synchronization,Value,2012,190.597753
Synchronization,Value,2013,189.679434
Synchronization,Value,2014,189.713099
Synchronization,Value,2015,202.934888
Synchronization,Value,2016,214.8389765
Synchronization,Value,2017,232.0865229
Synchronization,Value,2018,285.5134913
Synchronization,Value,2019,276.2623602
Vinyl Single,Value,1973,190
Vinyl Single,Value,1974,194
Vinyl Single,Value,1975,211.5
Vinyl Single,Value,1976,245.1
Vinyl Single,Value,1977,245.1
Vinyl Single,Value,1978,260.3
Vinyl Single,Value,1979,353.6
Vinyl Single,Value,1980,250
Vinyl Single,Value,1981,256.4
Vinyl Single,Value,1982,283
Vinyl Single,Value,1983,269.3
Vinyl Single,Value,1984,298.7
Vinyl Single,Value,1985,281
Vinyl Single,Value,1986,228.1
Vinyl Single,Value,1987,203.3
Vinyl Single,Value,1988,180.4
Vinyl Single,Value,1989,116.4
Vinyl Single,Value,1990,94.4
Vinyl Single,Value,1991,63.9
Vinyl Single,Value,1992,66.4
Vinyl Single,Value,1993,51.2
Vinyl Single,Value,1994,47.2
Vinyl Single,Value,1995,46.7
Vinyl Single,Value,1996,47.5
Vinyl Single,Value,1997,35.6
Vinyl Single,Value,1998,25.7
Vinyl Single,Value,1999,27.9
Vinyl Single,Value,2000,26.3
Vinyl Single,Value,2001,31.4
Vinyl Single,Value,2002,24.9
Vinyl Single,Value,2003,21.5
Vinyl Single,Value,2004,19.9
Vinyl Single,Value,2005,13.2
Vinyl Single,Value,2006,9.9
Vinyl Single,Value,2007,4
Vinyl Single,Value,2008,2.9
Vinyl Single,Value,2009,2.5
Vinyl Single,Value,2010,2.3
Vinyl Single,Value,2011,4.6
Vinyl Single,Value,2012,4.743055893
Vinyl Single,Value,2013,2.978937179
Vinyl Single,Value,2014,5.49935429
Vinyl Single,Value,2015,5.752954082
Vinyl Single,Value,2016,4.880679689
Vinyl Single,Value,2017,6.07838535
Vinyl Single,Value,2018,5.290337079
Vinyl Single,Value,2019,6.795945687
8 - Track,Value (Adjusted),1973,"2,815.68"
8 - Track,Value (Adjusted),1974,"2,848.01"
8 - Track,Value (Adjusted),1975,"2,770.41"
8 - Track,Value (Adjusted),1976,"3,047.22"
8 - Track,Value (Adjusted),1977,"3,421.42"
8 - Track,Value (Adjusted),1978,"3,717.22"
8 - Track,Value (Adjusted),1979,"2,409.73"
8 - Track,Value (Adjusted),1980,"1,635.09"
8 - Track,Value (Adjusted),1981,880.3150825
8 - Track,Value (Adjusted),1982,95.37463212
8 - Track,Value (Adjusted),1983,
8 - Track,Value (Adjusted),1984,
8 - Track,Value (Adjusted),1985,
8 - Track,Value (Adjusted),1986,
8 - Track,Value (Adjusted),1987,
8 - Track,Value (Adjusted),1988,
8 - Track,Value (Adjusted),1989,
8 - Track,Value (Adjusted),1990,
8 - Track,Value (Adjusted),1991,
8 - Track,Value (Adjusted),1992,
8 - Track,Value (Adjusted),1993,
8 - Track,Value (Adjusted),1994,
8 - Track,Value (Adjusted),1995,
8 - Track,Value (Adjusted),1996,
8 - Track,Value (Adjusted),1997,
8 - Track,Value (Adjusted),1998,
8 - Track,Value (Adjusted),1999,
8 - Track,Value (Adjusted),2000,
8 - Track,Value (Adjusted),2001,
8 - Track,Value (Adjusted),2002,
8 - Track,Value (Adjusted),2003,
8 - Track,Value (Adjusted),2004,
8 - Track,Value (Adjusted),2005,
8 - Track,Value (Adjusted),2006,
8 - Track,Value (Adjusted),2007,
8 - Track,Value (Adjusted),2008,
8 - Track,Value (Adjusted),2009,
8 - Track,Value (Adjusted),2010,
8 - Track,Value (Adjusted),2011,
8 - Track,Value (Adjusted),2012,
8 - Track,Value (Adjusted),2013,
8 - Track,Value (Adjusted),2014,
8 - Track,Value (Adjusted),2015,
8 - Track,Value (Adjusted),2016,
8 - Track,Value (Adjusted),2017,
8 - Track,Value (Adjusted),2018,
8 - Track,Value (Adjusted),2019,
CD,Value (Adjusted),1973,
CD,Value (Adjusted),1974,
CD,Value (Adjusted),1975,
CD,Value (Adjusted),1976,
CD,Value (Adjusted),1977,
CD,Value (Adjusted),1978,
CD,Value (Adjusted),1979,
CD,Value (Adjusted),1980,
CD,Value (Adjusted),1981,
CD,Value (Adjusted),1982,
CD,Value (Adjusted),1983,44.14960241
CD,Value (Adjusted),1984,254.1806362
CD,Value (Adjusted),1985,925.4498281
CD,Value (Adjusted),1986,"2,169.59"
CD,Value (Adjusted),1987,"3,586.40"
CD,Value (Adjusted),1988,"4,516.46"
CD,Value (Adjusted),1989,"5,335.19"
CD,Value (Adjusted),1990,"6,751.54"
CD,Value (Adjusted),1991,"8,142.17"
CD,Value (Adjusted),1992,"9,706.04"
CD,Value (Adjusted),1993,"11,520.31"
CD,Value (Adjusted),1994,"14,601.95"
CD,Value (Adjusted),1995,"15,730.96"
CD,Value (Adjusted),1996,"16,187.86"
CD,Value (Adjusted),1997,"15,793.55"
CD,Value (Adjusted),1998,"17,905.40"
CD,Value (Adjusted),1999,"19,667.33"
CD,Value (Adjusted),2000,"19,618.93"
CD,Value (Adjusted),2001,"18,635.68"
CD,Value (Adjusted),2002,"17,115.94"
CD,Value (Adjusted),2003,"15,607.44"
CD,Value (Adjusted),2004,"15,491.68"
CD,Value (Adjusted),2005,"13,771.44"
CD,Value (Adjusted),2006,"11,885.77"
CD,Value (Adjusted),2007,"9,190.70"
CD,Value (Adjusted),2008,"6,496.78"
CD,Value (Adjusted),2009,"5,146.58"
CD,Value (Adjusted),2010,"3,973.86"
CD,Value (Adjusted),2011,"3,524.14"
CD,Value (Adjusted),2012,"2,767.78"
CD,Value (Adjusted),2013,"2,349.53"
CD,Value (Adjusted),2014,"1,918.22"
CD,Value (Adjusted),2015,"1,558.63"
CD,Value (Adjusted),2016,"1,204.50"
CD,Value (Adjusted),2017,"1,102.77"
CD,Value (Adjusted),2018,711.0412395
CD,Value (Adjusted),2019,614.5097799
CD Single,Value (Adjusted),1973,
CD Single,Value (Adjusted),1974,
CD Single,Value (Adjusted),1975,
CD Single,Value (Adjusted),1976,
CD Single,Value (Adjusted),1977,
CD Single,Value (Adjusted),1978,
CD Single,Value (Adjusted),1979,
CD Single,Value (Adjusted),1980,
CD Single,Value (Adjusted),1981,
CD Single,Value (Adjusted),1982,
CD Single,Value (Adjusted),1983,
CD Single,Value (Adjusted),1984,
CD Single,Value (Adjusted),1985,
CD Single,Value (Adjusted),1986,
CD Single,Value (Adjusted),1987,
CD Single,Value (Adjusted),1988,21.17868639
CD Single,Value (Adjusted),1989,-1.443225
CD Single,Value (Adjusted),1990,11.73635807
CD Single,Value (Adjusted),1991,65.88517401
CD Single,Value (Adjusted),1992,82.1819722
CD Single,Value (Adjusted),1993,81.03176886
CD Single,Value (Adjusted),1994,96.77704251
CD Single,Value (Adjusted),1995,186.0391161
CD Single,Value (Adjusted),1996,299.9773977
CD Single,Value (Adjusted),1997,434.3779682
CD Single,Value (Adjusted),1998,334.3930822
CD Single,Value (Adjusted),1999,341.2852149
CD Single,Value (Adjusted),2000,211.8597787
CD Single,Value (Adjusted),2001,114.6197956
CD Single,Value (Adjusted),2002,27.85368093
CD Single,Value (Adjusted),2003,50.01984783
CD Single,Value (Adjusted),2004,20.30097935
CD Single,Value (Adjusted),2005,14.26861905
CD Single,Value (Adjusted),2006,9.764677083
CD Single,Value (Adjusted),2007,15.04590159
CD Single,Value (Adjusted),2008,4.156001078
CD Single,Value (Adjusted),2009,3.694172567
CD Single,Value (Adjusted),2010,3.400068331
CD Single,Value (Adjusted),2011,3.977965137
CD Single,Value (Adjusted),2012,3.59119832
CD Single,Value (Adjusted),2013,2.684056894
CD Single,Value (Adjusted),2014,3.905023683
CD Single,Value (Adjusted),2015,1.291079457
CD Single,Value (Adjusted),2016,0.280361354
CD Single,Value (Adjusted),2017,1.542258972
CD Single,Value (Adjusted),2018,0.157981482
CD Single,Value (Adjusted),2019,0.181678878
Cassette,Value (Adjusted),1973,437.6110811
Cassette,Value (Adjusted),1974,452.1965598
Cassette,Value (Adjusted),1975,469.4964981
Cassette,Value (Adjusted),1976,654.6436714
Cassette,Value (Adjusted),1977,"1,053.00"
Cassette,Value (Adjusted),1978,"1,763.72"
Cassette,Value (Adjusted),1979,"2,044.55"
Cassette,Value (Adjusted),1980,"2,187.36"
Cassette,Value (Adjusted),1981,"2,989.13"
Cassette,Value (Adjusted),1982,"3,667.95"
Cassette,Value (Adjusted),1983,"4,648.29"
Cassette,Value (Adjusted),1984,"5,865.84"
Cassette,Value (Adjusted),1985,"5,729.71"
Cassette,Value (Adjusted),1986,"5,830.43"
Cassette,Value (Adjusted),1987,"6,660.81"
Cassette,Value (Adjusted),1988,"7,315.51"
Cassette,Value (Adjusted),1989,"6,898.20"
Cassette,Value (Adjusted),1990,"6,792.22"
Cassette,Value (Adjusted),1991,"5,668.00"
Cassette,Value (Adjusted),1992,"5,678.57"
Cassette,Value (Adjusted),1993,"5,158.79"
Cassette,Value (Adjusted),1994,"5,134.53"
Cassette,Value (Adjusted),1995,"3,864.38"
Cassette,Value (Adjusted),1996,"3,104.55"
Cassette,Value (Adjusted),1997,"2,425.48"
Cassette,Value (Adjusted),1998,"2,227.04"
Cassette,Value (Adjusted),1999,"1,629.08"
Cassette,Value (Adjusted),2000,929.3918815
Cassette,Value (Adjusted),2001,524.5948831
Cassette,Value (Adjusted),2002,298.1480745
Cassette,Value (Adjusted),2003,150.1984875
Cassette,Value (Adjusted),2004,32.07554738
Cassette,Value (Adjusted),2005,17.14852381
Cassette,Value (Adjusted),2006,4.69211756
Cassette,Value (Adjusted),2007,3.699811867
Cassette,Value (Adjusted),2008,1.068685991
Cassette,Value (Adjusted),2009,
Cassette,Value (Adjusted),2010,
Cassette,Value (Adjusted),2011,
Cassette,Value (Adjusted),2012,
Cassette,Value (Adjusted),2013,
Cassette,Value (Adjusted),2014,
Cassette,Value (Adjusted),2015,
Cassette,Value (Adjusted),2016,
Cassette,Value (Adjusted),2017,
Cassette,Value (Adjusted),2018,
Cassette,Value (Adjusted),2019,
Cassette Single,Value (Adjusted),1973,
Cassette Single,Value (Adjusted),1974,
Cassette Single,Value (Adjusted),1975,
Cassette Single,Value (Adjusted),1976,
Cassette Single,Value (Adjusted),1977,
Cassette Single,Value (Adjusted),1978,
Cassette Single,Value (Adjusted),1979,
Cassette Single,Value (Adjusted),1980,
Cassette Single,Value (Adjusted),1981,
Cassette Single,Value (Adjusted),1982,
Cassette Single,Value (Adjusted),1983,
Cassette Single,Value (Adjusted),1984,
Cassette Single,Value (Adjusted),1985,
Cassette Single,Value (Adjusted),1986,
Cassette Single,Value (Adjusted),1987,32.18217518
Cassette Single,Value (Adjusted),1988,123.8304827
Cassette Single,Value (Adjusted),1989,401.21655
Cassette Single,Value (Adjusted),1990,504.4677911
Cassette Single,Value (Adjusted),1991,432.4770396
Cassette Single,Value (Adjusted),1992,544.4783436
Cassette Single,Value (Adjusted),1993,528.1218997
Cassette Single,Value (Adjusted),1994,474.2247591
Cassette Single,Value (Adjusted),1995,396.4025532
Cassette Single,Value (Adjusted),1996,308.4504149
Cassette Single,Value (Adjusted),1997,212.6492804
Cassette Single,Value (Adjusted),1998,148.0614773
Cassette Single,Value (Adjusted),1999,73.65867947
Cassette Single,Value (Adjusted),2000,6.829397213
Cassette Single,Value (Adjusted),2001,-7.650943535
Cassette Single,Value (Adjusted),2002,-2.273769872
Cassette Single,Value (Adjusted),2003,
Cassette Single,Value (Adjusted),2004,
Cassette Single,Value (Adjusted),2005,
Cassette Single,Value (Adjusted),2006,
Cassette Single,Value (Adjusted),2007,
Cassette Single,Value (Adjusted),2008,
Cassette Single,Value (Adjusted),2009,
Cassette Single,Value (Adjusted),2010,
Cassette Single,Value (Adjusted),2011,
Cassette Single,Value (Adjusted),2012,
Cassette Single,Value (Adjusted),2013,
Cassette Single,Value (Adjusted),2014,
Cassette Single,Value (Adjusted),2015,
Cassette Single,Value (Adjusted),2016,
Cassette Single,Value (Adjusted),2017,
Cassette Single,Value (Adjusted),2018,
Cassette Single,Value (Adjusted),2019,
DVD Audio,Value (Adjusted),1973,
DVD Audio,Value (Adjusted),1974,
DVD Audio,Value (Adjusted),1975,
DVD Audio,Value (Adjusted),1976,
DVD Audio,Value (Adjusted),1977,
DVD Audio,Value (Adjusted),1978,
DVD Audio,Value (Adjusted),1979,
DVD Audio,Value (Adjusted),1980,
DVD Audio,Value (Adjusted),1981,
DVD Audio,Value (Adjusted),1982,
DVD Audio,Value (Adjusted),1983,
DVD Audio,Value (Adjusted),1984,
DVD Audio,Value (Adjusted),1985,
DVD Audio,Value (Adjusted),1986,
DVD Audio,Value (Adjusted),1987,
DVD Audio,Value (Adjusted),1988,
DVD Audio,Value (Adjusted),1989,
DVD Audio,Value (Adjusted),1990,
DVD Audio,Value (Adjusted),1991,
DVD Audio,Value (Adjusted),1992,
DVD Audio,Value (Adjusted),1993,
DVD Audio,Value (Adjusted),1994,
DVD Audio,Value (Adjusted),1995,
DVD Audio,Value (Adjusted),1996,
DVD Audio,Value (Adjusted),1997,
DVD Audio,Value (Adjusted),1998,
DVD Audio,Value (Adjusted),1999,
DVD Audio,Value (Adjusted),2000,
DVD Audio,Value (Adjusted),2001,8.661445511
DVD Audio,Value (Adjusted),2002,12.07940245
DVD Audio,Value (Adjusted),2003,11.11552174
DVD Audio,Value (Adjusted),2004,8.797091053
DVD Audio,Value (Adjusted),2005,14.66133333
DVD Audio,Value (Adjusted),2006,3.043535714
DVD Audio,Value (Adjusted),2007,3.453157742
DVD Audio,Value (Adjusted),2008,1.424914655
DVD Audio,Value (Adjusted),2009,1.906669712
DVD Audio,Value (Adjusted),2010,1.05519362
DVD Audio,Value (Adjusted),2011,0.34096844
DVD Audio,Value (Adjusted),2012,0.20389289
DVD Audio,Value (Adjusted),2013,-0.544116778
DVD Audio,Value (Adjusted),2014,2.310456232
DVD Audio,Value (Adjusted),2015,5.842187676
DVD Audio,Value (Adjusted),2016,3.020431045
DVD Audio,Value (Adjusted),2017,2.718901189
DVD Audio,Value (Adjusted),2018,3.377493968
DVD Audio,Value (Adjusted),2019,1.067303184
Download Album,Value (Adjusted),1973,
Download Album,Value (Adjusted),1974,
Download Album,Value (Adjusted),1975,
Download Album,Value (Adjusted),1976,
Download Album,Value (Adjusted),1977,
Download Album,Value (Adjusted),1978,
Download Album,Value (Adjusted),1979,
Download Album,Value (Adjusted),1980,
Download Album,Value (Adjusted),1981,
Download Album,Value (Adjusted),1982,
Download Album,Value (Adjusted),1983,
Download Album,Value (Adjusted),1984,
Download Album,Value (Adjusted),1985,
Download Album,Value (Adjusted),1986,
Download Album,Value (Adjusted),1987,
Download Album,Value (Adjusted),1988,
Download Album,Value (Adjusted),1989,
Download Album,Value (Adjusted),1990,
Download Album,Value (Adjusted),1991,
Download Album,Value (Adjusted),1992,
Download Album,Value (Adjusted),1993,
Download Album,Value (Adjusted),1994,
Download Album,Value (Adjusted),1995,
Download Album,Value (Adjusted),1996,
Download Album,Value (Adjusted),1997,
Download Album,Value (Adjusted),1998,
Download Album,Value (Adjusted),1999,
Download Album,Value (Adjusted),2000,
Download Album,Value (Adjusted),2001,
Download Album,Value (Adjusted),2002,
Download Album,Value (Adjusted),2003,
Download Album,Value (Adjusted),2004,61.57963737
Download Album,Value (Adjusted),2005,177.6377619
Download Album,Value (Adjusted),2006,349.8797932
Download Album,Value (Adjusted),2007,613.4288075
Download Album,Value (Adjusted),2008,754.373567
Download Album,Value (Adjusted),2009,886.9589166
Download Album,Value (Adjusted),2010,"1,022.83"
Download Album,Value (Adjusted),2011,"1,217.03"
Download Album,Value (Adjusted),2012,"1,341.59"
Download Album,Value (Adjusted),2013,"1,352.20"
Download Album,Value (Adjusted),2014,"1,207.25"
Download Album,Value (Adjusted),2015,"1,148.15"
Download Album,Value (Adjusted),2016,925.232201
Download Album,Value (Adjusted),2017,697.2376182
Download Album,Value (Adjusted),2018,508.7043884
Download Album,Value (Adjusted),2019,394.5330062
Download Music Video,Value (Adjusted),1973,
Download Music Video,Value (Adjusted),1974,
Download Music Video,Value (Adjusted),1975,
Download Music Video,Value (Adjusted),1976,
Download Music Video,Value (Adjusted),1977,
Download Music Video,Value (Adjusted),1978,
Download Music Video,Value (Adjusted),1979,
Download Music Video,Value (Adjusted),1980,
Download Music Video,Value (Adjusted),1981,
Download Music Video,Value (Adjusted),1982,
Download Music Video,Value (Adjusted),1983,
Download Music Video,Value (Adjusted),1984,
Download Music Video,Value (Adjusted),1985,
Download Music Video,Value (Adjusted),1986,
Download Music Video,Value (Adjusted),1987,
Download Music Video,Value (Adjusted),1988,
Download Music Video,Value (Adjusted),1989,
Download Music Video,Value (Adjusted),1990,
Download Music Video,Value (Adjusted),1991,
Download Music Video,Value (Adjusted),1992,
Download Music Video,Value (Adjusted),1993,
Download Music Video,Value (Adjusted),1994,
Download Music Video,Value (Adjusted),1995,
Download Music Video,Value (Adjusted),1996,
Download Music Video,Value (Adjusted),1997,
Download Music Video,Value (Adjusted),1998,
Download Music Video,Value (Adjusted),1999,
Download Music Video,Value (Adjusted),2000,
Download Music Video,Value (Adjusted),2001,
Download Music Video,Value (Adjusted),2002,
Download Music Video,Value (Adjusted),2003,
Download Music Video,Value (Adjusted),2004,
Download Music Video,Value (Adjusted),2005,4.84347619
Download Music Video,Value (Adjusted),2006,24.98235566
Download Music Video,Value (Adjusted),2007,34.77823155
Download Music Video,Value (Adjusted),2008,49.04081272
Download Music Video,Value (Adjusted),2009,48.73924451
Download Music Video,Value (Adjusted),2010,42.91120721
Download Music Video,Value (Adjusted),2011,36.82459156
Download Music Video,Value (Adjusted),2012,23.20820694
Download Music Video,Value (Adjusted),2013,18.37207499
Download Music Video,Value (Adjusted),2014,14.6621972
Download Music Video,Value (Adjusted),2015,6.918875516
Download Music Video,Value (Adjusted),2016,4.547792467
Download Music Video,Value (Adjusted),2017,2.905533136
Download Music Video,Value (Adjusted),2018,2.261051168
Download Music Video,Value (Adjusted),2019,1.858910402
Download Single,Value (Adjusted),1973,
Download Single,Value (Adjusted),1974,
Download Single,Value (Adjusted),1975,
Download Single,Value (Adjusted),1976,
Download Single,Value (Adjusted),1977,
Download Single,Value (Adjusted),1978,
Download Single,Value (Adjusted),1979,
Download Single,Value (Adjusted),1980,
Download Single,Value (Adjusted),1981,
Download Single,Value (Adjusted),1982,
Download Single,Value (Adjusted),1983,
Download Single,Value (Adjusted),1984,
Download Single,Value (Adjusted),1985,
Download Single,Value (Adjusted),1986,
Download Single,Value (Adjusted),1987,
Download Single,Value (Adjusted),1988,
Download Single,Value (Adjusted),1989,
Download Single,Value (Adjusted),1990,
Download Single,Value (Adjusted),1991,
Download Single,Value (Adjusted),1992,
Download Single,Value (Adjusted),1993,
Download Single,Value (Adjusted),1994,
Download Single,Value (Adjusted),1995,
Download Single,Value (Adjusted),1996,
Download Single,Value (Adjusted),1997,
Download Single,Value (Adjusted),1998,
Download Single,Value (Adjusted),1999,
Download Single,Value (Adjusted),2000,
Download Single,Value (Adjusted),2001,
Download Single,Value (Adjusted),2002,
Download Single,Value (Adjusted),2003,
Download Single,Value (Adjusted),2004,186.7690101
Download Single,Value (Adjusted),2005,475.577
Download Single,Value (Adjusted),2006,736.2820149
Download Single,Value (Adjusted),2007,"1,000.18"
Download Single,Value (Adjusted),2008,"1,225.66"
Download Single,Value (Adjusted),2009,"1,396.64"
Download Single,Value (Adjusted),2010,"1,566.85"
Download Single,Value (Adjusted),2011,"1,730.30"
Download Single,Value (Adjusted),2012,"1,831.26"
Download Single,Value (Adjusted),2013,"1,726.74"
Download Single,Value (Adjusted),2014,"1,463.66"
Download Single,Value (Adjusted),2015,"1,278.45"
Download Single,Value (Adjusted),2016,958.8791031
Download Single,Value (Adjusted),2017,707.6927112
Download Single,Value (Adjusted),2018,499.3169742
Download Single,Value (Adjusted),2019,414.804251
Kiosk,Value (Adjusted),1973,
Kiosk,Value (Adjusted),1974,
Kiosk,Value (Adjusted),1975,
Kiosk,Value (Adjusted),1976,
Kiosk,Value (Adjusted),1977,
Kiosk,Value (Adjusted),1978,
Kiosk,Value (Adjusted),1979,
Kiosk,Value (Adjusted),1980,
Kiosk,Value (Adjusted),1981,
Kiosk,Value (Adjusted),1982,
Kiosk,Value (Adjusted),1983,
Kiosk,Value (Adjusted),1984,
Kiosk,Value (Adjusted),1985,
Kiosk,Value (Adjusted),1986,
Kiosk,Value (Adjusted),1987,
Kiosk,Value (Adjusted),1988,
Kiosk,Value (Adjusted),1989,
Kiosk,Value (Adjusted),1990,
Kiosk,Value (Adjusted),1991,
Kiosk,Value (Adjusted),1992,
Kiosk,Value (Adjusted),1993,
Kiosk,Value (Adjusted),1994,
Kiosk,Value (Adjusted),1995,
Kiosk,Value (Adjusted),1996,
Kiosk,Value (Adjusted),1997,
Kiosk,Value (Adjusted),1998,
Kiosk,Value (Adjusted),1999,
Kiosk,Value (Adjusted),2000,
Kiosk,Value (Adjusted),2001,
Kiosk,Value (Adjusted),2002,
Kiosk,Value (Adjusted),2003,
Kiosk,Value (Adjusted),2004,
Kiosk,Value (Adjusted),2005,1.309047619
Kiosk,Value (Adjusted),2006,2.409465774
Kiosk,Value (Adjusted),2007,3.206503618
Kiosk,Value (Adjusted),2008,3.087315086
Kiosk,Value (Adjusted),2009,7.507511991
Kiosk,Value (Adjusted),2010,7.503599075
Kiosk,Value (Adjusted),2011,3.068715963
Kiosk,Value (Adjusted),2012,4.068866328
Kiosk,Value (Adjusted),2013,6.786152156
Kiosk,Value (Adjusted),2014,2.789051821
Kiosk,Value (Adjusted),2015,3.99147413
Kiosk,Value (Adjusted),2016,3.13587911
Kiosk,Value (Adjusted),2017,2.351668038
Kiosk,Value (Adjusted),2018,2.000651969
Kiosk,Value (Adjusted),2019,1.586470587
LP/EP,Value (Adjusted),1973,"7,174.52"
LP/EP,Value (Adjusted),1974,"7,031.86"
LP/EP,Value (Adjusted),1975,"7,056.70"
LP/EP,Value (Adjusted),1976,"7,472.01"
LP/EP,Value (Adjusted),1977,"9,260.61"
LP/EP,Value (Adjusted),1978,"9,698.11"
LP/EP,Value (Adjusted),1979,"7,243.62"
LP/EP,Value (Adjusted),1980,"6,825.79"
LP/EP,Value (Adjusted),1981,"6,586.05"
LP/EP,Value (Adjusted),1982,"5,100.16"
LP/EP,Value (Adjusted),1983,"4,335.39"
LP/EP,Value (Adjusted),1984,"3,810.99"
LP/EP,Value (Adjusted),1985,"3,042.46"
LP/EP,Value (Adjusted),1986,"2,292.98"
LP/EP,Value (Adjusted),1987,"1,784.87"
LP/EP,Value (Adjusted),1988,"1,150.13"
LP/EP,Value (Adjusted),1989,454.203525
LP/EP,Value (Adjusted),1990,169.1991622
LP/EP,Value (Adjusted),1991,55.18587225
LP/EP,Value (Adjusted),1992,24.59992516
LP/EP,Value (Adjusted),1993,18.75407751
LP/EP,Value (Adjusted),1994,30.7064413
LP/EP,Value (Adjusted),1995,42.10623819
LP/EP,Value (Adjusted),1996,59.96289101
LP/EP,Value (Adjusted),1997,53.04285421
LP/EP,Value (Adjusted),1998,53.32722699
LP/EP,Value (Adjusted),1999,48.79887515
LP/EP,Value (Adjusted),2000,41.12484843
LP/EP,Value (Adjusted),2001,39.5539345
LP/EP,Value (Adjusted),2002,29.13267649
LP/EP,Value (Adjusted),2003,30.15085272
LP/EP,Value (Adjusted),2004,26.12059344
LP/EP,Value (Adjusted),2005,18.58847619
LP/EP,Value (Adjusted),2006,19.90979613
LP/EP,Value (Adjusted),2007,28.24189725
LP/EP,Value (Adjusted),2008,67.32721746
LP/EP,Value (Adjusted),2009,76.02845477
LP/EP,Value (Adjusted),2010,104.2296809
LP/EP,Value (Adjusted),2011,135.7054393
LP/EP,Value (Adjusted),2012,178.9679822
LP/EP,Value (Adjusted),2013,231.2740702
LP/EP,Value (Adjusted),2014,263.3361791
LP/EP,Value (Adjusted),2015,359.5981629
